N	barrel|drum	drum は「太鼓」のほか、油などを入れる金属の「ドラム缶」。barrel は木の「たる」や、石油の量の単位「バレル」
N	aridity|dryness	dryness は「乾燥」のふつうの語。aridity は土地や気候が「ひどく乾燥していること」の学問の語
N	dryness|moisture	dryness は「乾燥」、moisture は「湿り気・水分」
N	dumb|mute	dumb は話し言葉で「ばかな」（失礼な言い方）。mute は「声を出さない・無言の」で、dumb のもとの意味「口がきけない」に近い
N	dumb|stupid	dumb も stupid も「ばかな」。dumb はアメリカの話し言葉でよく使い、どちらも人に言うと失礼
N	clever|dumb	clever は「利口な」、dumb は「ばかな」
N	dye|tint	dye は布や髪を「染める」。tint は「うっすら色をつける」
N	color|dye	dye は染料で「染める」。color は「色をつける・色を塗る」と広く言う
N	bleach|dye	dye は「染める」、bleach は「漂白する・色を抜く」
N	earn|gain	earn は働いて「稼ぐ」や、努力で「得る」。gain は「得る・増す」と広く言う
N	earn|make	earn は「(働いて)稼ぐ」。make も話し言葉で「稼ぐ」（make money）
N	earn|lose	earn は「稼ぐ・得る」、lose は「失う」
N	easily|hardly	easily は「簡単に・楽に」、hardly は「ほとんど〜ない」。hard（一生懸命に）の副詞は hardly ではなく hard
I	easily|curr_idm_2_with_ease	with ease は「楽々と」の少しかたい言い方。easily は「簡単に」のふつうの語
N	easy|effortless	easy は「簡単な」と広く言う。effortless は上手なので「苦労なく見える・楽々とした」
N	effortless|laborious	effortless は「楽々とした」、laborious は「骨の折れる・手間のかかる」
N	crisis|emergency	emergency はすぐ対応が要る「緊急事態」。crisis は重大な分かれ目となる「危機」
N	emergency|urgency	emergency は「緊急事態」という出来事。urgency は「急を要すること・切迫」という性質
N	emergency|routine	emergency は「緊急事態」、routine は「いつもの手順・日常」
N	equal|identical	equal は数量や価値が「等しい」。identical は細部まで「全く同じ」
N	equal|equivalent	equal は「等しい」（equal to）。equivalent は価値や意味が「同等の・相当する」（be equivalent to）
N	equal|unequal	equal は「平等な・等しい」、unequal は「不平等な・等しくない」
I	equal|curr_idm_pre1_be_equivalent_to	be equivalent to は価値や意味が「〜に相当する」。equal は数量が「等しい」、動詞で「〜に等しい」（Two plus two equals four.）
N	escape|flee	escape は危険や閉じ込められた所から「逃げる・逃れる」。flee は危険から「急いで逃げ去る」かたい語
I	escape|curr_idm_pre2_get_away	get away は「逃げる・離れる」の話し言葉（get away from）。escape は「逃れる」のやや改まった語
I	escape|curr_idm_3_run_away	run away は走って「逃げる・家出する」。escape は閉じ込められた所から「逃げ出す」
N	even|still	even は比較級の前で「さらに・いっそう」（even better）。still も比較級を強めるが、「まだ」の意味が中心
I	everywhere|curr_idm_3_all_over	all over は all over the world のように「〜じゅうに」。everywhere は単独で「どこでも」
N	evil|wickedness	evil は「悪」と広く言う（good and evil）。wickedness は人の「邪悪さ・よこしまさ」
N	evil|sin	evil は「悪」全体。sin は宗教や道徳上の「罪」
N	evil|good	evil は名詞で「悪」、good は名詞で「善」（good and evil＝善と悪）
N	exact|precise	exact は「ちょうどの・正確な」（the exact time）。precise は細かいところまで「精密な」
N	accurate|exact	exact は「ぴったりの・厳密な」。accurate は情報や測定が「正確な」
N	approximate|exact	exact は「正確な」、approximate は「おおよその」
N	excite|thrill	excite は「興奮させる」と広く言う。thrill は「ぞくぞく・わくわくさせる」と強く言う
N	excite|stimulate	excite は気持ちを「興奮させる」。stimulate は成長や興味などを「刺激する・促す」
N	calm|excite	excite は「興奮させる」、calm は動詞で「落ち着かせる」
N	excuse|forgive	excuse は軽い失礼を「許す」（Excuse me.）。forgive は大きな過ちや罪を「許す」
N	excuse|pardon	excuse は「許す・大目に見る」。pardon は罪を「許す・赦免する」かたい語で、Pardon? は聞き返し
N	blame|excuse	excuse は「許す・言い訳する」、blame は「責める」
N	accuse|excuse	excuse は責めないで「許す」、accuse は人を「責める・告発する」。どちらもラテン語 causa（理由・訴え）から
N	exit|way out	exit は「出口」の少しかたい語で、表示によく使う。way out はイギリス英語の話し言葉で「出口」
N	departure|exit	exit は「出口・退出」。departure は「出発」（arrivals and departures）
N	entrance|exit	entrance は「入り口」、exit は「出口」
N	experiment|trial	experiment は仮説を確かめる「実験」。trial は新しい物を実際に使ってみる「試行・試験」
N	experiment|test	experiment は科学の「実験」。test は性能や能力を調べる「検査・試験」
N	describe|explain	explain は理由や仕組みを「説明する」（explain why）。describe は様子を「描写する・言葉で述べる」
I	explain|idm_account_for	account for は理由を「説明する」のほか、割合を「占める」（account for 30%）の意味もある。explain は「説明する」のふつうの語
N	additional|extra	extra は「余分の・追加の」（an extra charge）。additional は「追加の」のかたい語
N	extra|spare	extra は「追加の」。spare は使わずにとっておく「予備の・余分の」（a spare key）
N	extra|standard	extra は「追加の・特別の」、standard は「標準の」
N	fair|just	fair は分け方などが「公平な」。just は道理にかなった「正しい・公正な」かたい語
N	fair|impartial	fair は「公正な」のふつうの語。impartial はどちらの側にもつかない「公平な」かたい語
N	fair|unfair	fair は「公平な」、unfair は「不公平な」
N	belief|faith	faith は理由を問わず信じ切る「信頼・信仰」。belief は正しいと思う「信念・考え」
N	faith|trust	faith は「(強い)信頼・信仰」。trust は人や物への「信頼」と広く言う
N	doubt|faith	faith は「信頼」、doubt は「疑い」
N	counterfeit|fake	fake は「偽の」と広く言う。counterfeit はお金やブランド品が「偽造の」
N	fake|false	fake は物が「偽物の」（a fake watch）。false は内容が「間違った・うその」（false information）
N	fake|genuine	fake は「偽の」、genuine は「本物の」
N	false|untrue	false は「間違った・偽の」。untrue は「事実でない」と、少しやわらかく言う
N	elaborate|fancy	fancy は「凝った・高級な」の話し言葉。elaborate は細部まで「念入りに作られた」
N	fancy|lavish	fancy は「高級な・凝った」。lavish はお金をかけて「ぜいたくな・豪華な」
N	fancy|plain	fancy は「凝った・飾りの多い」、plain は「飾りのない・質素な」
N	fantastic|wonderful	fantastic と wonderful はどちらも「すばらしい」。fantastic は話し言葉で強い感動を言い、「空想的な」の意味もある
N	fantastic|marvelous	fantastic は「すばらしい」の話し言葉。marvelous は「驚くほどすばらしい」と、やや古めかしい語
N	fantastic|ordinary	fantastic は「すばらしい・途方もない」、ordinary は「平凡な」
N	fare|fee	fare は乗り物の「運賃」。fee は入場料や手数料などの「料金」（entrance fee）
N	charge|fare	fare は乗り物の「運賃」。charge はサービスの「料金・代金」と広く言う
N	fat|plump	fat は「太った」（失礼に聞こえやすい）。plump は「ふっくらした」と、やわらかい言い方
N	fat|slim	fat は「太った」、slim は「ほっそりした」
N	favor|kindness	favor は人のためにする「親切な行い・お願い」（Can I ask you a favor?）。kindness は「親切・やさしさ」という性質
N	favor|goodwill	favor は「好意・親切な行い」。goodwill は相手のためを思う「善意・好意」
N	disfavor|favor	favor は「好意・支持」、disfavor は「不興・嫌われること」
N	barrier|fence	fence は家や畑の周りの「柵・塀」。barrier は通れないようにする「障壁・柵」
N	fence|railing	fence は周りを囲う「柵・塀」。railing は階段などの「手すり」
N	feast|festival	festival は町などで行う「祭り」。feast は食べ物がたくさん出る「祝宴・ごちそう」
N	file|submit	file は書類を正式に「提出する」（file a report）。submit は宿題や書類を「提出する」と広く言う
N	file|lodge	file は書類を「提出する」。lodge は苦情などを正式に「申し立てる」（lodge a complaint）
N	concluding|final	final は「最後の・最終の」と広く言う。concluding は話や会の「締めくくりの」
N	final|initial	final は「最後の」、initial は「最初の」
I	finally|curr_idm_3_at_last	at last は待ちに待って「ついに・ようやく」。finally は「ついに」のほか、順番の「最後に」の意味もある
I	finally|curr_idm_pre1_at_length	at length は「長々と・詳しく」の意味が中心で、「ついに」は古い言い方。finally は「ついに・最後に」
N	fist|knuckle	fist は握った「こぶし」。knuckle は指の「関節」
N	fist|palm	fist は握った「こぶし」、palm は開いた「手のひら」
N	flow|run	flow は水などが「流れる」のふつうの語。run も川や水が「流れる」（The river runs through the town.）
N	flow|stagnate	flow は「流れる」、stagnate は水が「よどむ」や、経済が「停滞する」
N	concentrate|focus	focus は注意を1点に「集中させる・焦点を合わせる」。concentrate は「集中する」のほか、液体を「濃縮する」
N	disciple|follower	follower は人や考えに「従う人・支持者」と広く言う。disciple は師から直接学ぶ「弟子」
N	following|subsequent	following は「次の・以下の」（the following day）。subsequent は「その後の」のかたい語
N	following|previous	following は「次の」、previous は「前の」
N	formally|officially	formally は儀式などを「正式に・形式どおりに」。officially は役所などが「公式に」
N	formally|informally	formally は「正式に・改まって」、informally は「略式に・打ち解けて」
N	former|previous	former は「元の・前の」（a former teacher）で、今はちがう立場のことを言う。previous は「(1つ)前の」
N	former|prior	former は「以前の」。prior は「事前の・前の」（prior to＝〜より前に）
N	former|latter	former は「前者（の）」、latter は「後者（の）」。2つを順に指すときに使う
N	freedom|liberty	freedom は「自由」のふつうの語。liberty は権利としての「自由」や、「解放」のかたい語
N	freedom|independence	freedom は「自由」。independence は他に頼らない「独立・自立」
N	freedom|oppression	freedom は「自由」、oppression は「抑圧・圧政」
N	frozen|icy	frozen は「凍った・冷凍の」（frozen food）。icy は道などが「氷の張った」や、態度が「冷ややかな」
N	frozen|iced	frozen は「凍った・冷凍の」。iced は飲み物が「氷で冷やした」（iced tea）
N	frozen|thawed	frozen は「凍った」、thawed は「解けた・解凍された」
I	further|curr_idm_pre1_in_addition	in addition は「その上・さらに」と情報を足すときの言い方。further は「さらに（進んで）」で、距離や程度にも使う
I	further|curr1900_idm_pre1_what_is_more	what is more は「さらに・その上」と、より大事なことを付け足す言い方。further は「さらに・もっと」
N	gallery|museum	museum は「博物館・美術館」と広く言う。gallery は絵を見せる「美術館・画廊」
N	exhibition|gallery	gallery は絵を展示する「場所（画廊）」。exhibition は作品の「展覧会・展示」という催し
N	assemble|gather	gather は「集める・集まる」と広く言う。assemble は人が決まった場所に「集合する」や、部品を「組み立てる」
N	gather|scatter	gather は「集める・集まる」、scatter は「まき散らす・散らばる」
I	gather|curr_idm_3_get_together	get together は友人などが「集まる・会う」話し言葉。gather は「集まる・集める」と広く言う
N	gentleness|kindness	gentleness は態度や声の「優しさ・穏やかさ」。kindness は人のためにする「親切」
N	gentleness|harshness	gentleness は「優しさ・穏やかさ」、harshness は「厳しさ・きつさ」
N	goods|merchandise	goods は「商品・品物」と広く言う。merchandise は店で売る「商品」のかたい語で、数えない
N	goods|product	goods は売り買いする「品物」（複数形で使う）。product は工場などで作った「製品」
N	grand|magnificent	grand は建物や行事が「壮大な・堂々とした」。magnificent は見た人が驚くほど「壮麗な・見事な」
N	grand|majestic	grand は「壮大な」。majestic は山や王者のように「威厳のある・荘厳な」
N	grand|modest	grand は「壮大な・豪華な」、modest は「控えめな・質素な」
N	expansion|growth	growth は自然に大きくなる「成長」。expansion は範囲や規模の「拡大・拡張」
N	growth|increase	growth は「成長・増大」。increase は数量の「増加」
N	decline|growth	growth は「成長」、decline は「衰退・減少」
N	direction|guidance	guidance は「指導・助言」。direction は「指示・指図」や、映画などの「監督」
