distinct|district	L
distinct|instinct	L
distinctive|instinctive	L
distinction|distraction	L	distinction は2つを分ける「区別」、distraction は気を散らすもの
diverge|diverse	L
diversity|university	L
dough|rough	L	-ough の読みはそろわない。dough は /ˈdoʊ/、rough は /ˈɹʌf/、tough は /ˈtʌf/、cough は /ˈkɔf/
dough|tough	L
dramatic|drastic	L	dramatic は変化が大きい「劇的な」、drastic は手段が思い切った「抜本的な」
early|nearly	L
earn|learn	L
ecology|economy	L	ecology は生き物と環境の「生態（学）」、economy は「経済」
efficiency|sufficiency	L
efficient|sufficient	L	efficient は無駄がない「効率的な」、sufficient は量が足りている「十分な」
either|neither	L	either は「どちらか一方」、neither は「どちらも〜ない」
elect|select	L	elect は投票で「選出する」、select は中から「選ぶ」
eligible|negligible	L	eligible は「資格のある」、negligible は「無視できるほど小さい」
emerge|merge	L	emerge は隠れていたものが「現れる」、merge は2つが「合併する・溶け合う」
emigrant|migrant	L
endorse|enforce	L	endorse は「支持する・是認する」、enforce は規則を「施行する」
endorsement|enforcement	L
endure|ensure	L	endure は苦しみに「耐える」、ensure は「確実にする」
enforce|reinforce	L	enforce は規則を「施行する」、reinforce は「補強する・強化する」
enforcement|reinforcement	L
equality|quality	L	equality は「平等」、quality は「質・品質」
error|terror	L
estate|state	L
eternal|external	L
eternal|internal	L
ethic|ethnic	L	ethic は「倫理」、ethnic は「民族の」
evacuate|evaluate	L	evacuate は危険な場所から「避難させる」、evaluate は「評価する」
evacuation|evaluation	L
evoke|revoke	L	evoke は記憶や感情を「呼び起こす」、revoke は免許や決定を「取り消す」
evolution|revolution	L	evolution は少しずつ変わる「進化」、revolution は大きく変える「革命」
evolve|revolve	L	evolve は「進化する」、revolve は軸の周りを「回転する」
effective|ineffective	反対語
efficiency|inefficiency	反対語
efficient|inefficient	反対語
emotional|unemotional	反対語
employment|unemployment	反対語
equality|inequality	反対語
equitable|inequitable	反対語
enlighten|lighten	接頭辞
emission|emissions	変化形
eclectic|electric	まれ
enable|tenable	まれ
