accident|incident	L	accident は思いがけない「事故」、incident は事件や争いになりうる「出来事」
acquire|require	L	acquire は努力して「手に入れる・身につける」、require は「必要とする・要求する」
acquire|inquire	L
inquire|require	L	inquire は「尋ねる・問い合わせる」、require は「必要とする」
adverse|diverse	L	adverse は「不利な・逆の」（adverse effect）、diverse は「多様な」
affection|infection	L	affection は「愛情」、infection は病気の「感染」
affluence|influence	L	affluence は「豊かさ」、influence は「影響」
alone|along	L
along|among	L	along は道や川に「沿って」、among は3つ以上のものの「間に」
altitude|attitude	L	altitude は「高度・標高」、attitude は「態度・考え方」
altitude|aptitude	L
alike|alive	L
admission|emission	L	admission は「入場・入学」や「認めること」、emission は排気ガスなどの「排出」
alien|align	L
ability|inability	反対語
accuracy|inaccuracy	反対語
accurate|inaccurate	反対語
adequacy|inadequacy	反対語
adequately|inadequately	反対語
adequate|inadequate	反対語
activity|inactivity	反対語
abridged|unabridged	反対語
abnormal|subnormal	別語
accompany|company	遠縁
acknowledge|knowledge	遠縁
ahead|head	接頭辞
basin|basis	L
beach|bench	L
belief|relief	L	belief は「信じること・信念」、relief は苦しみが軽くなる「安心・救済」
believe|relieve	L	believe は「信じる」、relieve は痛みや不安を「和らげる」
beside|besides	L	beside は「〜のそばに」、besides は「〜に加えて・そのうえ」
billion|million	L	million は100万、billion は10億（million の1000倍）
biography|geography	L	biography は人の一生を書いた「伝記」、geography は「地理（学）」
