statue|statute	L	statue は「像・彫像」、statute は「法令」
statue|status	L
submit|summit	L	submit は書類を「提出する」、summit は「山頂・首脳会談」
sunrise|surprise	L
surpass|surplus	L
taste|waste	L
thirsty|thirty	L
thought|through	L	thought は think の過去形・「考え」、through は「〜を通り抜けて」
thread|threat	L	thread は「糸」、threat は「脅威」
transform|transport	L	transform は形や性質を「一変させる」、transport は物や人を「輸送する」
tropical|typical	L
valuable|variable	L	valuable は「価値のある」、variable は「変わりやすい・変数」
veil|vein	L
winner|winter	L
successful|unsuccessful	反対語
suitable|unsuitable	反対語
unwilling|willing	反対語
unyielding|yielding	反対語
their|theirs	変化形
your|yours	変化形
surely|surly	まれ
sunday|sundry	まれ
surfeit|surveil	まれ
sully|surly	まれ
strenuous|tenuous	まれ
tacit|tact	まれ
tactful|tasteful	まれ
tedious|tenuous	まれ
tenacity|venality	まれ
tenacity|veracity	まれ
terse|verse	まれ
timorous|vigorous	まれ
tirade|trade	まれ
torpid|torrid	まれ
trite|write	まれ
underling|underlying	まれ
underling|undermine	まれ
unduly|unruly	まれ
unwilling|unwitting	まれ
vacuous|various	まれ
vacuous|vicious	まれ
vagrant|valiant	まれ
vagrant|vibrant	まれ
vagrant|warrant	まれ
valid|vapid	まれ
vegetable|venerable	まれ
vegetation|veneration	まれ
velocity|veracity	まれ
venality|veracity	まれ
venality|vitality	まれ
venerable|vulnerable	まれ
verdant|verdict	まれ
vicarious|vicious	まれ
vicarious|victorious	まれ
vicious|viscous	まれ
vicious|vivacious	まれ
violent|virulent	まれ
vivacious|voracious	まれ
window|winnow	まれ
wordy|worry	まれ
