national|rationale	別語
ponder|wonder	別語
pool|tool	別語
pool|wool	別語
populate|postulate	別語
porch|torch	別語
pork|work	別語
portable|workable	別語
portend|pretend	別語
portent|potent	別語
portent|torment	別語
portion|position	別語
pose|post	別語
pose|prose	別語
pose|rose	別語
positioned|postponed	別語
posture|torture	別語
pour|sour	別語
pour|tour	別語
pour|your	別語
power|tower	別語
praised|raised	別語
prattle|rattle	別語
pray|spray	別語
pray|tray	別語
preach|reach	別語
precarious|precious	別語
precarious|precocious	別語
precede|precise	別語
precede|preclude	別語
precede|preside	別語
precede|recede	別語
precept|present	別語
precept|prevent	別語
precept|receipt	別語
precious|precocious	別語
precious|previous	別語
precious|specious	別語
precise|premise	別語
precise|preside	別語
precise|promise	別語
precision|provision	別語
precision|revision	別語
preclude|recluse	別語
preclude|seclude	別語
prediction|predilection	別語
prediction|production	別語
prediction|reduction	別語
predict|product	別語
preface|prepare	別語
preface|presage	別語
preface|profane	別語
preference|reverence	別語
premise|preside	別語
preparation|propagation	別語
preparation|reparation	別語
preparation|separation	別語
prepare|presage	別語
presage|preside	別語
presage|prestige	別語
presage|presume	別語
prescient|present	別語
prescient|president	別語
presence|pretense	別語
presence|prudence	別語
presentation|preservation	別語
presentation|representation	別語
present|pretend	別語
present|prevent	別語
present|prudent	別語
present|resent	別語
preside|prestige	別語
preside|presume	別語
preside|provide	別語
preside|reside	別語
pressure|presume	別語
pressure|reassure	別語
pressure|treasure	別語
prestige|pristine	別語
prestige|restive	別語
presumption|resumption	別語
prevalent|prevent	別語
prevention|retention	別語
prevent|prudent	別語
preview|purview	別語
price|prime	別語
price|prince	別語
price|rice	別語
pride|prime	別語
pride|prize	別語
pride|ride	別語
primate|private	別語
primate|promote	別語
prime|prize	別語
prim|trim	別語
princess|process	別語
print|sprint	別語
priority|probity	別語
probe|prone	別語
probe|prose	別語
probe|prove	別語
probe|robe	別語
procedure|procure	別語
process|protest	別語
process|prowess	別語
procure|produce	別語
procure|profuse	別語
produce|profuse	別語
production|protection	別語
production|reduction	別語
productive|protective	別語
product|project	別語
product|protect	別語
profane|profile	別語
profane|profuse	別語
profession|progression	別語
profile|profuse	別語
profile|promise	別語
profile|provide	別語
profuse|promise	別語
profuse|propose	別語
progress|prowess	別語
project|prospect	別語
project|protect	別語
project|protest	別語
promise|promote	別語
promise|propose	別語
promise|provide	別語
promote|propose	別語
promote|provoke	別語
promotion|proportion	別語
prone|prose	別語
prone|prove	別語
prone|prune	別語
pronounce|renounce	別語
propel|proper	別語
proper|prosper	別語
proportion|proposition	別語
propose|provoke	別語
prosecution|protection	別語
prosecutor|protector	別語
prose|prove	別語
prose|rose	別語
prospective|protective	別語
prospective|respective	別語
prospect|protect	別語
prospect|respect	別語
protect|protract	別語
protest|prowess	別語
provide|provoke	別語
provision|revision	別語
prudent|prurient	別語
prudent|student	別語
publish|rubbish	別語
pulse|purse	別語
pure|purse	別語
pure|sure	別語
purloin|sirloin	別語
purpose|suppose	別語
push|rush	別語
qualify|quantify	別語
quality|reality	別語
quell|quill	別語
quiet|quilt	別語
quill|quilt	別語
quilt|quit	別語
quite|quote	別語
quite|suite	別語
quit|quiz	別語
quit|suit	別語
race|rack	別語
race|rage	別語
race|rare	別語
race|rate	別語
race|raze	別語
race|rice	別語
race|trace	別語
rack|rank	別語
rack|sack	別語
rack|track	別語
radiance|reliance	別語
radiant|rampant	別語
radiant|valiant	別語
radiation|tradition	別語
radiation|variation	別語
rage|range	別語
rage|rare	別語
rage|rate	別語
rage|raze	別語
rage|wage	別語
rail|rain	別語
rail|sail	別語
rail|tail	別語
rail|trail	別語
rain|ruin	別語
rain|train	別語
rain|vain	別語
rally|really	別語
rapacious|spacious	別語
rare|rate	別語
rare|raze	別語
rash|trash	別語
rash|wash	別語
rate|raze	別語
rate|rite	別語
rational|regional	別語
ravage|savage	別語
reach|teach	別語
reaction|reduction	別語
reaction|rejection	別語
reaction|section	別語
readily|reality	別語
readiness|weariness	別語
read|ready	別語
read|real	別語
read|reap	別語
read|rear	別語
read|road	別語
reality|venality	別語
realization|replication	別語
realization|retaliation	別語
realize|recline	別語
real|realm	別語
real|reap	別語
real|rear	別語
real|seal	別語
real|zeal	別語
reap|rear	別語
reap|recap	別語
rearing|regarding	別語
rearing|yearning	別語
rear|roar	別語
rear|tear	別語
rear|wear	別語
rear|year	別語
reason|season	別語
reason|treason	別語
reassure|treasure	別語
rebel|repel	別語
receiver|recover	別語
receive|recline	別語
receive|reserve	別語
receive|restive	別語
reception|redemption	別語
reception|rejection	別語
reception|retention	別語
recession|repression	別語
recipe|recite	別語
recipient|resilient	別語
recitation|refutation	別語
recitation|reputation	別語
recline|recluse	別語
recluse|recourse	別語
recluse|seclude	別語
reconcile|recondite	別語
recount|recruit	別語
recount|resound	別語
recourse|remorse	別語
recourse|resource	別語
recover|uncover	別語
rectify|testify	別語
redemption|resumption	別語
redress|refresh	別語
redress|repress	別語
reduction|rejection	別語
referee|reserve	別語
referee|reverse	別語
reference|reverence	別語
refinement|retirement	別語
reflective|respective	別語
reflective|selective	別語
reflect|respect	別語
refresh|repress	別語
refuge|refute	別語
refuse|reuse	別語
refutation|regulation	別語
refutation|reputation	別語
regain|remain	別語
regain|retain	別語
regular|secular	別語
regulation|reputation	別語
reign|resign	別語
rein|ruin	別語
rein|vein	別語
reiteration|restoration	別語
rejection|retention	別語
rejection|selection	別語
relapse|release	別語
relative|restive	別語
relaxation|relocation	別語
relaxation|reparation	別語
relax|relay	別語
release|relegate	別語
release|reverse	別語
relegate|relocate	別語
relevance|reliance	別語
relieve|reprieve	別語
relieve|retrieve	別語
religion|revision	別語
relocate|renovate	別語
relocate|replicate	別語
relocate|resonate	別語
relocation|renovation	別語
relocation|replication	別語
remembrance|resemblance	別語
remittance|resistance	別語
remodel|removal	別語
remorse|reverse	別語
removal|revival	別語
rendering|wandering	別語
render|sender	別語
render|tender	別語
renewable|venerable	別語
renounce|resource	別語
renovate|resonate	別語
rent|rest	別語
reparation|repatriation	別語
reparation|reputation	別語
reparation|respiration	別語
reparation|separation	別語
repetition|reputation	別語
replace|replete	別語
replace|replica	別語
report|resort	別語
report|retort	別語
reprieve|retrieve	別語
reptile|restive	別語
reptile|textile	別語
repudiation|reputation	別語
requirement|retirement	別語
rescind|resound	別語
rescind|respond	別語
resentful|respectful	別語
resentful|restful	別語
reserve|resolve	別語
reserve|restive	別語
reserve|reverse	別語
residence|resilience	別語
residence|reticence	別語
resident|resilient	別語
resident|reticent	別語
resolute|resonate	別語
resolve|restive	別語
resort|retort	別語
resound|respond	別語
respiration|restoration	別語
restful|wistful	別語
restive|restore	別語
rest|rust	別語
rest|test	別語
rest|vest	別語
rest|west	別語
