rigorous|vigorous	L	rigorous は基準が「厳格な」、vigorous は動きが「精力的な」
rough|tough	L	-ough の読みはそろわない。rough は /ˈɹʌf/、tough は /ˈtʌf/、cough は /ˈkɔf/、dough は /ˈdoʊ/
scarce|scare	L
scatter|shatter	L	scatter は「まき散らす」、shatter は「粉々に砕く」
scratch|stretch	L
scream|stream	L
scroll|stroll	L	scroll は画面を「スクロールする」、stroll は「ぶらぶら歩く」
shallow|swallow	L	shallow は「浅い」、swallow は「飲み込む」（名詞では「ツバメ」）
simulate|stimulate	L	simulate は本物に似せて「模擬する」、stimulate は「刺激する・促す」
simulation|stimulation	L
sanitary|unsanitary	反対語
short|shorts	変化形
severity|temerity	まれ
slave|suave	まれ
solicitude|solitude	まれ
solid|stolid	まれ
spacious|spurious	まれ
specious|spurious	まれ
spurious|studious	まれ
spur|spurn	まれ
staid|stain	まれ
staid|stair	まれ
staid|stand	まれ
salient|solvent	まれ
salient|valiant	まれ
salutary|sanitary	まれ
salutary|solitary	まれ
servant|verdant	まれ
rigorous|timorous	まれ
