moral|mortal	L	moral は「道徳的な」、mortal は「死ぬ運命の・致命的な」
morality|mortality	L
month|mouth	L
momentary|monetary	L	momentary は「一瞬の」、monetary は「金銭の・通貨の」
naive|native	L
national|rational	L
niece|piece	L
notice|novice	L
observation|reservation	L	observation は「観察」、reservation は「予約」や「留保」
oblivious|obvious	L	oblivious は「気づいていない」、obvious は「明らかな」
onion|union	L
optimal|optional	L	optimal は「最適の」、optional は「任意の・選べる」
passport|password	L
peasant|pleasant	L
perceive|receive	L	-ceive の仲間は頭で見分ける。perceive は「知覚する」、receive は「受け取る」
persecution|prosecution	L	persecution は人を苦しめる「迫害」、prosecution は法で訴える「起訴」
perspective|prospective	L	perspective は物の見方「観点」、prospective は「将来の・見込みのある」
perspective|respective	L
petty|pretty	L
phase|phrase	L	phase は段階、phrase は言い回し
plain|plan	L
pleasure|pressure	L
poison|prison	L
police|polite	L
pollution|solution	L
objective|subjective	反対語
occupied|unoccupied	反対語
official|unofficial	反対語
pleasant|unpleasant	反対語
payment|repayment	接頭辞
placement|replacement	接頭辞
mollify|mortify	まれ
mollify|nullify	まれ
mordant|verdant	まれ
nettle|settle	まれ
oblique|obloquy	まれ
onerous|ponderous	まれ
oscillate|vacillate	まれ
ostensible|sensible	まれ
ostensibly|sensibly	まれ
palatial|partial	まれ
paradox|paragon	まれ
penalty|venality	まれ
penchant|trenchant	まれ
perpetrate|perpetuate	まれ
piety|pity	まれ
poignant|pregnant	まれ
