conclusion|confusion	L	conclusion は話や調査の「結論」、confusion は頭が混乱する「混乱」
conference|confidence	L
conservation|conversation	L	conservation は自然や資源の「保護」、conversation は人との「会話」
construction|instruction	L	construction は建物などの「建設」、instruction は「指示・説明」
construct|instruct	L
consume|costume	L
contact|contract	L	contact は「連絡（する）」、contract は「契約」や「縮む」
contract|contrast	L	contract は「契約・縮む」、contrast は2つを並べた「対照・対比」
converge|converse	L
convert|covert	L
covert|overt	L	covert は「隠れた・秘密の」、overt は「公然の・明白な」で反対の意味
cooperate|corporate	L	cooperate は「協力する」（動詞）、corporate は「企業の」（形容詞）
cooperation|corporation	L	cooperation は「協力」、corporation は「企業・法人」
cough|dough	L	-ough の読みはそろわない。cough は /ˈkɔf/、dough は /ˈdoʊ/、rough と tough は /ˈɹʌf/ /ˈtʌf/
cough|rough	L
cough|tough	L
could|would	L
country|county	L	country は「国・田舎」、county は国の中の行政区「郡・州」
courageous|courteous	L	courageous は「勇敢な」、courteous は「礼儀正しい」
crammed|cramped	L
crate|create	L
creature|feature	L
crowd|crown	L
cyclical|cynical	L
dancer|danger	L
conclusive|inconclusive	反対語
consciousness|unconsciousness	反対語
consistency|inconsistency	反対語
constitutional|unconstitutional	反対語
conventional|unconventional	反対語
cooperative|uncooperative	反対語
correct|incorrect	反対語
credible|incredible	反対語
damaged|undamaged	反対語
consider|reconsider	接頭辞
cooperate|operate	接頭辞
cooperation|operation	接頭辞
contagious|contiguous	まれ
daily|dally	まれ
