displace|display	別語
displace|displease	別語
distance|distaste	別語
distant|distaste	別語
distinguishable|indistinguishable	反対語
distract|district	L
distract|distrust	別語
distress|distrust	別語
district|distrust	別語
diversion|diversity	別語
divisible|indivisible	反対語
dock|duck	L
does|dose	L
doll|dull	L
door|odor	別語
do|due	別語
dramatically|drastically	L	dramatically は変化が大きいことを表す「劇的に・大幅に」、drastically は手段が思い切っていることを表す「抜本的に」
duplicate|replicate	別語
duplication|replication	別語
edge|hedge	L
edge|wedge	L
eighty|weighty	別語
electric|electronic	L	electric は電気で動く「電気の」（electric car）、electronic は半導体などを使う「電子の」（electronic device）
eleventh|seventh	別語
emigrant|immigrant	L	emigrant は国を出ていく側から見た「移民」、immigrant は入ってくる側から見た「移民」
emigrate|migrate	L	emigrate は「（他国へ）移り住む」、migrate は人や動物が季節や仕事で「移動する・渡る」
emigration|immigration	L	emigration は出ていく側の「移住」、immigration は入ってくる側の「移民・入国審査」
emigration|migration	L
empathize|sympathize	L	empathize は相手の気持ちを自分のことのように感じる「共感する」、sympathize は相手を気の毒に思う「同情する」
empathy|sympathy	L	empathy は相手の気持ちを同じように感じる「共感」、sympathy は気の毒に思う「同情」
empire|umpire	L
empress|impress	別語
ensure|unsure	別語
equation|equator	別語
evil|veil	別語
expansion|extension	L	expansion は大きさや規模が広がる「拡大」、extension は長さや期間を延ばす「延長」や電話の「内線」
explode|exploit	別語
explode|explorer	別語
exploit|explore	L	exploit は資源や人を「利用する・搾取する」、explore は未知の場所や考えを「探検する・探究する」
extant|extent	L
eye|i	L
fair|hair	L
fallow|fellow	まれ
fallow|follow	まれ
fall|hall	L
falter|filter	L
fang|hang	L
farm|harm	L
fate|hate	L
feat|heat	L
feed|heed	L
feeling|healing	L
feel|heel	L
fence|hence	L
fill|hill	L
finding|funding	L
fire|hire	L
five|hive	L
flap|flop	L
flatten|flattery	別語
flexibility|inflexibility	反対語
foist|hoist	まれ
fold|hold	L
follow|hollow	L
fond|fund	L
formal|format	L	formal は「正式な・形式ばった」（formal dress）、format は書類やデータの「形式・書式」
fort|forth	L
gallant|valiant	別語
general|generate	遠縁
germane|germany	まれ
ghost|host	L
gird|grid	まれ
gland|grand	L
gland|land	別語
glean|lean	別語
gloom|loom	別語
glove|love	L
glower|lower	まれ
grace|race	L
gradual|graduate	別語
grain|rain	L
graze|raze	まれ
grim|grime	L
gripe|ripe	別語
grip|gripe	L
ground|round	L
gutter|utter	別語
habitat|habitual	遠縁
habitat|habituate	遠縁
hack|hawk	別語
hall|haul	L
haunt|hunt	L
heal|hear	L
heat|wheat	L
heel|wheel	L
hew|hue	まれ
him|hymn	L
hi|high	L
holy|wholly	L
hose|whose	別語
hospitable|hospital	遠縁
hover|over	別語
humankind|mankind	別語
humiliate|humility	遠縁
immigrate|migrate	L	immigrate は入ってくる側の「移住してくる」、migrate は季節や仕事で「移動する・渡る」
impassable|impossible	L
impetuous|impetus	遠縁
implicate|implicit	遠縁
improper|improve	別語
improve|improvise	別語
incite|insight	L	incite は人を「あおる・扇動する」、insight は物事を見抜く「洞察」。発音は同じ
inequality|inequity	L	inequality は差が大きいことを表す「不平等・格差」、inequity は不公正であることを表す「不公平」
inequity|iniquity	まれ
inherent|inherit	L	inherent は「もともと備わっている」（形容詞）、inherit は財産や性質を「受け継ぐ」（動詞）
inner|winner	別語
innovate|renovate	L	innovate は仕組みや考えを新しくする「革新する」、renovate は建物を「改修する」
insolvent|solvent	反対語
install|instant	別語
install|instill	L
insular|insulate	遠縁
insular|insulator	遠縁
insulate|isolate	L	insulate は熱・電気・音を通さないようにする「絶縁・断熱する」、isolate は人や物を「孤立させる・隔離する」
insure|unsure	別語
intentionally|unintentionally	反対語
interact|interest	別語
interact|interface	別語
interact|internet	別語
interest|internet	別語
interface|interfere	L
internal|internet	別語
internet|interpret	別語
intimate|intimidate	L
in|inn	L
itch|witch	L
itinerant|itinerary	遠縁
journal|journey	遠縁
kindle|kindly	別語
know|no	L
lace|race	L
lack|lock	L
lack|luck	L
lack|rack	L
lamp|lump	L
languid|languish	遠縁
last|lost	L
latter|litter	L
leap|reap	L
letter|litter	L
lever|liver	L
life|rife	まれ
literacy|literal	遠縁
literacy|literally	遠縁
literally|literary	L	literally は「文字どおり・まさに」、literary は「文学の」。literate（読み書きができる）とも混同しやすい
living|loving	L
lock|luck	L
long|lung	L
loom|room	別語
