fragrance	fragrant	形	香りのよい
freeze	freezer	名	冷凍庫
frustrate	frustrating	形	いらいらさせる・もどかしい
furnish	furniture	名	家具	furnish（備え付ける）から、部屋に備え付けるもの→「家具」
gene	genetic	形	遺伝の・遺伝子の
govern	governor	名	知事・統治者
hasty	hasten	動	急がせる・早める
horizon	horizontal	形	水平の・横の
horror	horrible	形	ひどい・恐ろしい
horror	horrify	動	ぞっとさせる
immigrant	immigrate	動	移住してくる・入国する
infinite	infinity	名	無限・無数
intense	intensive	形	集中的な・徹底した
interact	interactive	形	双方向の・対話型の
justice	justify	動	正当化する
justice	just	形	公正な・正当な	副詞の just（ちょうど）とは別の、形容詞 just（公正な）から
labor	laborious	形	骨の折れる・勤勉な
liberty	liberate	動	解放する・自由にする
liberty	liberal	形	自由主義の・寛大な
literature	literary	形	文学の・文学的な
maximum	maximize	動	最大化する・最大限に生かす
memory	memorial	名	記念碑・記念の
minimum	minimize	動	最小限にする・軽く見る
minimum	minimal	形	最小限の・ごくわずかな
C	lightning	lighting	照明・点灯
C	manner	manners	作法・行儀
U	frightened	frightening	frightened は人が「怖がった」。frightening は物事が「恐ろしい」
U	frustrated	frustrating	frustrated は人が「いらだった・挫折した」。frustrating は物事が「いらいらさせる」
U	graceful	gracious	graceful は「(動きや姿が)優雅な」。gracious は「(人に対して)丁重な・寛大な」
U	immigrate	emigrate	immigrate は「(他国から)移住してくる」（im- ＝中へ）。emigrate は「(他国へ)移住していく」（e- ＝外へ）
U	industrial	industrious	industrial は「産業の・工業の」。industrious は「勤勉な」
U	intense	intensive	intense は「(感情・光・痛みなどが)強烈な」。intensive は「集中的な・徹底した」（intensive care）
U	irritated	irritating	irritated は人が「いらいらした」。irritating は物事が「いらだたせる」
U	lighting	lightning	lighting は「照明」。lightning は「稲妻」（t が入らない）
U	loose	lose	loose は形容詞「緩い」（/lus/）。lose は動詞「失う・負ける」（/luz/）
U	manner	manners	manner は「方法・態度」（in a friendly manner）。複数形の manners は「行儀・作法」
