zip	zipper	名	ファスナー・チャック
N	absence	absentee	人物
abuse	abuser	名	虐待する人・乱用する人
accompany	accompaniment	名	伴奏・付け合わせ・添えもの
accord	accordance	名	一致・（in accordance with で）〜に従って
N	accord	accordance	別意
accuse	accused	名	（the accused で）被告人
achieve	achiever	名	成果をあげる人（a high achiever＝成績優秀な人）
acid	acidity	名	酸性・酸味
N	acid	acidity	別意
adapt	adapter	名	アダプター・脚色する人
admire	admirer	名	崇拝者・ファン
U	admission	admittance	admission は「入場（料）・入学・（罪などを）認めること」。admittance は「入場（の許可）」だけを言い、No admittance（立入禁止）のように使う
advertise	advertiser	名	広告主
aid	aide	名	補佐官・側近
N	aid	aide	人物
announce	announcer	名	アナウンサー・発表する人
appetite	appetizer	名	前菜・食前の軽い料理
N	appetite	appetizer	別意
U	approbation	approval	approval は「承認・賛成」。approbation も「（正式な）承認・称賛」だが、かたい言い方
U	artful	artistic	artistic は「芸術の・芸術的な」。artful は「巧妙な・ずる賢い」（うまく人をだます）
N	assistance	assistant	人物
athlete	athletics	名	陸上競技・運動競技
N	athlete	athletics	人物
attend	attendee	名	出席者・参加者
N	attendance	attendant	人物
U	attendance	attention	attendance は「出席」。attention は「注意・注目」で、どちらも attend から来た語
N	attendance	attentiveness	別意
N	attendant	attention	人物
U	attention	attentiveness	attention は「注意・注目」。attentiveness は「気配り・注意深さ」（人の性質）
N	attendant	attentiveness	人物
N	author	authorization	人物
N	belief	believer	人物
N	belief	believability	別意
N	believability	believer	人物
billion	billionaire	名	億万長者
bind	binder	名	バインダー・とじ込み表紙
blend	blender	名	（料理用の）ミキサー・ブレンダー	日本語の「ミキサー」（果物などを砕く器具）は英語では blender と言う
P	board	動	（乗り物に）乗り込む
board	boarding	名	搭乗・乗船（boarding pass＝搭乗券）・寄宿
N	board	boarding	別意
boost	booster	名	追加接種（booster shot）・高める物
breath	breathless	形	息を切らした・息をのむような
broadcast	broadcaster	名	放送局・キャスター
bump	bumper	名	（車の）バンパー
calm	calming	形	鎮静させる・落ち着かせる
P	calm	動	落ち着かせる・静める
U	calm	calming	calm は「穏やかな・落ち着いた」。calming は「（気持ちを）落ち着かせる」（音楽・香りなど）
N	capital	capitalism	別意
N	capital	capitalist	人物
N	capital	capitalization	別意
N	categorization	category	別意
N	caution	cautiousness	別意
challenge	challenger	名	挑戦者
P	challenge	動	（〜に）挑む・異議を唱える
charge	charger	名	充電器
U	chilled	chilly	chilly は（天気・空気が）「肌寒い」。chilled は「冷やした・冷えた」（飲み物など）
citizen	citizenship	名	市民権・国籍
N	citizen	citizenship	人物
N	classic	classified	別意
N	classic	classifiable	別意
cloth	clothing	名	衣類・衣服
cloth	clothes	名	衣服
U	cloth	clothes	cloth は「布・生地」（数えない。布切れ1枚は a cloth）。clothes は「衣服」（複数として扱う）
U	cloth	clothing	cloth は「布・生地」。clothing は「衣類」（衣服をまとめて言い、数えない）
U	clothes	clothing	clothes は「衣服」（複数として扱い、数を表す語はつけない）。clothing は「衣類」（まとめて言うかたい語で、数えない）
code	coding	名	プログラミング・符号化
N	code	coding	別意
P	comfort	動	慰める・元気づける
command	commander	名	指揮官・司令官
N	command	commander	人物
comment	commentary	名	解説・論評・実況
comment	commentator	名	解説者・評論家
P	comment	動	論評する・意見を述べる
U	comment	commentary	comment は「意見・コメント」（一言の感想）。commentary は「解説・論評」（試合の実況や、まとまった論評）
N	comment	commentator	人物
commerce	commercial	名	CM・商業の
P	commercial	形	商業の・営利的な
N	commerce	commercial	別意
companion	companionship	名	交友・連れがいること
N	companion	companionship	人物
N	company	companionship	別意
U	comparable	comparative	comparable は「比較できる・同等の」（comparable to 〜に匹敵する）。comparative は「比較の・比較的な」（comparative study＝比較研究）
U	competent	competitive	competitive は「競争の・負けず嫌いの」。competent は「有能な・十分な力のある」で、つづりが似ているので注意
complete	completeness	名	完全さ・漏れのなさ
P	complex	名	複合施設・（心理的な）コンプレックス
P	concern	動	関係する・心配させる
condition	conditioner	名	調整装置・空調機
